"Tier","Participant","Time","CB_code","MA_code","coders_agree","relative_time"
"Child Behavior","Child",0,"Neutral behavior","Neutral behavior",1,0
"Child Behavior","Child",1,"Neutral behavior","Neutral behavior",1,1
"Child Behavior","Child",2,"Neutral behavior","Neutral behavior",1,2
"Child Behavior","Child",3,"Neutral behavior","Neutral behavior",1,3
"Child Behavior","Child",4,"Neutral behavior","Neutral behavior",1,4
"Child Behavior","Child",5,"Neutral behavior","Neutral behavior",1,5
"Child Behavior","Child",6,"Neutral behavior","Neutral behavior",1,6
"Child Behavior","Child",7,"Neutral behavior","Neutral behavior",1,7
"Child Behavior","Child",8,"Neutral behavior","Neutral behavior",1,8
"Child Behavior","Child",9,"Neutral behavior","Neutral behavior",1,9
"Child Behavior","Child",10,"Neutral behavior","Neutral behavior",1,10
"Child Behavior","Child",11,"Neutral behavior","Neutral behavior",1,11
"Child Behavior","Child",12,"Neutral behavior","Neutral behavior",1,12
"Child Behavior","Child",13,"Neutral behavior","Neutral behavior",1,13
"Child Behavior","Child",14,"Warm/supportive behavior","Warm/supportive behavior",1,14
"Child Behavior","Child",15,"Warm/supportive behavior","Warm/supportive behavior",1,15
"Child Behavior","Child",16,"Warm/supportive behavior","Neutral behavior",0,16
"Child Behavior","Child",17,"Warm/supportive behavior","Neutral behavior",0,17
"Child Behavior","Child",18,"Warm/supportive behavior","Neutral behavior",0,18
"Child Behavior","Child",19,"Neutral behavior","Neutral behavior",1,19
"Child Behavior","Child",20,"Neutral behavior","Neutral behavior",1,20
"Child Behavior","Child",21,"Neutral behavior","Neutral behavior",1,21
"Child Behavior","Child",22,"Neutral behavior","Neutral behavior",1,22
"Child Behavior","Child",23,"Neutral behavior","Neutral behavior",1,23
"Child Behavior","Child",24,"Neutral behavior","Neutral behavior",1,24
"Child Behavior","Child",25,"Neutral behavior","Neutral behavior",1,25
"Child Behavior","Child",26,"Warm/supportive behavior","Warm/supportive behavior",1,26
"Child Behavior","Child",27,"Warm/supportive behavior","Warm/supportive behavior",1,27
"Child Behavior","Child",28,"Warm/supportive behavior","Neutral behavior",0,28
"Child Behavior","Child",29,"Neutral behavior","Neutral behavior",1,29
"Child Behavior","Child",30,"Neutral behavior","Neutral behavior",1,30
"Child Behavior","Child",31,"Neutral behavior","Neutral behavior",1,31
"Child Behavior","Child",32,"Neutral behavior","Neutral behavior",1,32
"Child Behavior","Child",33,"Neutral behavior","Neutral behavior",1,33
"Child Behavior","Child",34,"Neutral behavior","Neutral behavior",1,34
"Child Behavior","Child",35,"Neutral behavior","Neutral behavior",1,35
"Child Behavior","Child",36,"Neutral behavior","Neutral behavior",1,36
"Child Behavior","Child",37,"Neutral behavior","Neutral behavior",1,37
"Child Behavior","Child",38,"Neutral behavior","Neutral behavior",1,38
"Child Behavior","Child",39,"Neutral behavior","Neutral behavior",1,39
"Child Behavior","Child",40,"Neutral behavior","Neutral behavior",1,40
"Child Behavior","Child",41,"Neutral behavior","Neutral behavior",1,41
"Child Behavior","Child",42,"Neutral behavior","Neutral behavior",1,42
"Child Behavior","Child",43,"Neutral behavior","Neutral behavior",1,43
"Child Behavior","Child",44,"Neutral behavior","Neutral behavior",1,44
"Child Behavior","Child",45,"Neutral behavior","Neutral behavior",1,45
"Child Behavior","Child",46,"Neutral behavior","Warm/supportive behavior",0,46
"Child Behavior","Child",47,"Neutral behavior","Warm/supportive behavior",0,47
"Child Behavior","Child",48,"Neutral behavior","Neutral behavior",1,48
"Child Behavior","Child",49,"Neutral behavior","Neutral behavior",1,49
"Child Behavior","Child",50,"Neutral behavior","Neutral behavior",1,50
"Child Behavior","Child",51,"Neutral behavior","Neutral behavior",1,51
"Child Behavior","Child",52,"Neutral behavior","Neutral behavior",1,52
"Child Behavior","Child",53,"Neutral behavior","Neutral behavior",1,53
"Child Behavior","Child",54,"Neutral behavior","Neutral behavior",1,54
"Child Behavior","Child",55,"Neutral behavior","Neutral behavior",1,55
"Child Behavior","Child",56,"Neutral behavior","Neutral behavior",1,56
"Child Behavior","Child",57,"Neutral behavior","Neutral behavior",1,57
"Child Behavior","Child",58,"Neutral behavior","Neutral behavior",1,58
"Child Behavior","Child",59,"Neutral behavior","Neutral behavior",1,59
"Child Behavior","Child",60,"Neutral behavior","Neutral behavior",1,60
"Child Behavior","Child",61,"Neutral behavior","Neutral behavior",1,61
"Child Behavior","Child",62,"Neutral behavior","Warm/supportive behavior",0,62
"Child Behavior","Child",63,"Neutral behavior","Warm/supportive behavior",0,63
"Child Behavior","Child",64,"Neutral behavior","Neutral behavior",1,64
"Child Behavior","Child",65,"Neutral behavior","Neutral behavior",1,65
"Child Behavior","Child",66,"Neutral behavior","Warm/supportive behavior",0,66
"Child Behavior","Child",67,"Neutral behavior","Warm/supportive behavior",0,67
"Child Behavior","Child",68,"Neutral behavior","Neutral behavior",1,68
"Child Behavior","Child",69,"Neutral behavior","Neutral behavior",1,69
"Child Behavior","Child",70,"Neutral behavior","Neutral behavior",1,70
"Child Behavior","Child",71,"Neutral behavior","Neutral behavior",1,71
"Child Behavior","Child",72,"Neutral behavior","Neutral behavior",1,72
"Child Behavior","Child",73,"Neutral behavior","Neutral behavior",1,73
"Child Behavior","Child",74,"Neutral behavior","Neutral behavior",1,74
"Child Behavior","Child",75,"Neutral behavior","Neutral behavior",1,75
"Child Behavior","Child",76,"Neutral behavior","Neutral behavior",1,76
"Child Behavior","Child",77,"Neutral behavior","Neutral behavior",1,77
"Child Behavior","Child",78,"Neutral behavior","Neutral behavior",1,78
"Child Behavior","Child",79,"Neutral behavior","Neutral behavior",1,79
"Child Behavior","Child",80,"Neutral behavior","Neutral behavior",1,80
"Child Behavior","Child",81,"Neutral behavior","Neutral behavior",1,81
"Child Behavior","Child",82,"Neutral behavior","Neutral behavior",1,82
"Child Behavior","Child",83,"Neutral behavior","Neutral behavior",1,83
"Child Behavior","Child",84,"Neutral behavior","Neutral behavior",1,84
"Child Behavior","Child",85,"Neutral behavior","Neutral behavior",1,85
"Child Behavior","Child",86,"Neutral behavior","Neutral behavior",1,86
"Child Behavior","Child",87,"Neutral behavior","Neutral behavior",1,87
"Child Behavior","Child",88,"Neutral behavior","Neutral behavior",1,88
"Child Behavior","Child",89,"Neutral behavior","Neutral behavior",1,89
"Child Behavior","Child",90,"Neutral behavior","Neutral behavior",1,90
"Child Behavior","Child",91,"Neutral behavior","Provides Explanation/Elaboration",0,91
"Child Behavior","Child",92,"Neutral behavior","Provides Explanation/Elaboration",0,92
"Child Behavior","Child",93,"Neutral behavior","Provides Explanation/Elaboration",0,93
